tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
266,03:35.5,08:01.8,3273,Manila & 1st,40.72165072,-74.04288411,3209,Brunswick St,40.7241765,-74.0506564,42494,Subscriber,1988,1
1543,23:32.9,49:16.1,3681,Grand St,40.71517768,-74.03768331,3213,Van Vorst Park,40.71848892,-74.04772663,45343,Customer,1996,2
1461,23:50.8,48:12.6,3681,Grand St,40.71517768,-74.03768331,3213,Van Vorst Park,40.71848892,-74.04772663,31794,Customer,1995,1
793,31:09.1,44:22.9,3185,City Hall,40.7177325,-74.043845,3199,Newport Pkwy,40.7287448,-74.0321082,42316,Customer,1969,0
596,35:52.2,45:48.8,3639,Harborside,40.7192517,-74.034234,3209,Brunswick St,40.7241765,-74.0506564,32575,Customer,1969,0
144,39:55.6,42:19.8,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,48913,Subscriber,1990,1
610,43:49.4,53:59.5,3198,Heights Elevator,40.74871595,-74.0404433,3206,Hilltop,40.7311689,-74.0575736,33652,Customer,1969,0
265,12:20.8,16:46.4,3276,Marin Light Rail,40.71458404,-74.04281706,3214,Essex Light Rail,40.7127742,-74.0364857,41620,Subscriber,1958,1
353,14:02.9,19:56.4,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,40709,Subscriber,1974,1
269,17:06.6,21:35.8,3195,Sip Ave,40.7308971,-74.06391263,3225,Baldwin at Montgomery,40.7236589,-74.0641943,41992,Customer,1969,0
401,32:40.7,39:22.5,3638,Washington St,40.7242941,-74.0354826,3276,Marin Light Rail,40.71458404,-74.04281706,42358,Subscriber,1990,2
352,43:31.1,49:23.6,3279,Dixon Mills,40.72163014,-74.04996783,3639,Harborside,40.7192517,-74.034234,44857,Subscriber,1969,1
440,51:05.8,58:26.8,3276,Marin Light Rail,40.71458404,-74.04281706,3278,Monmouth and 6th,40.72568548,-74.04879034,44225,Subscriber,1993,1
405,51:59.6,58:45.3,3276,Marin Light Rail,40.71458404,-74.04281706,3270,Jersey & 6th St,40.72528911,-74.04557168,42157,Subscriber,1993,1
